Collection Terms,Tags,Category_1,Category_2,Category_3
IMF Christine Lagarde guilty,International,International,,
#ElectoralCollege,International,International,,
Wealth,International,International,,
Keystone XL,International,International,,
Immigration Executive Order,International,International,,
trump media,International,International,,
Trails,International,International,,
#appalachiantrail,National,National,,
#at2017,National,National,,
#pct2017,National,National,,
#continentaldividetrail,National,National,,
Appalachian Trail,National,National,,
Pacific Crest Trail,National,National,,
Continental Divide Trail,National,National,,
London Terrorist Attack,National,National,,
I-85 bridge collapse,National,National,,
St. Petersburg attack,Bridge,Bridge,,
St. Petersburg bomb,Attack,Attack,,
San Bernardino school shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,/Disaster_Types/Manmade/Conflict_Based/School_Shooting,,
power outage SF,Attack,Attack,,
#poweroutage,Attack,Attack,,
UT Austin stabbing,Storm,Storm,,
Sri Lanka rains,National,National,,
japan flood,Water,Water,,
#Eclipse2017,Earthquake,Earthquake,,
#Eclipse,Earthquake,Earthquake,,
#solareclipse,Earthquake,Earthquake,,
#August21,Earthquake,Earthquake,,
#Charlottesville,Earthquake,Earthquake,,
#HurricaneHarvey,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Harvey,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
#solareclipse2017,National,National,,
#greatamericaneclipse,National,National,,
#totalsolareclipse,solar eclipse,,,
#eclipseglasses,solar eclipse,,,
#oreclipse,solar eclipse,,,
#totaleclipse,National,National,,
#HurricaneIrma,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Irma,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Irma AT&T,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Irma comcast,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
Hurricane Irma Florida,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,/Disaster_Types/Natural/Geophysical/Storm/Hurricane,,
mountain valley pipeline,National,National,,
earthquake New River Valley,Natural,Natural,,
#mexicocity,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#mexicoearthquake,earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
#ayudaamexico,earthquake,/Disaster_Types/Natural/Geophysical/Seismic_Activity/Earthquake,,
